"","saison_annee","saison","journee","date","time","home","score","away","home_score","away_score"
"1","1950/1951",19,1,"Samedi 26 août 1950","-","Girondins de Bordeaux","2 - 0","OGC Nice",2,0
"2","1950/1951",19,1,"Dimanche 27 août 1950","-","Stade Rennais FC","6 - 0","AS Saint-Etienne",6,0
"3","1950/1951",19,1,"Dimanche 27 août 1950","-","FC Sète 34","5 - 2","Stade de Reims",5,2
"4","1950/1951",19,1,"Dimanche 27 août 1950","-","RC Paris","4 - 1","FC Sochaux-Montbéliard",4,1
"5","1950/1951",19,1,"Dimanche 27 août 1950","-","RC Lens","0 - 2","FC Nancy",0,2
"6","1950/1951",19,1,"Dimanche 27 août 1950","-","RC Strasbourg Alsace","2 - 1","Nîmes Olympique",2,1
"7","1950/1951",19,1,"Dimanche 27 août 1950","-","Havre AC","1 - 0","Olympique de Marseille",1,0
"8","1950/1951",19,1,"Dimanche 27 août 1950","-","LOSC","1 - 1","Red Star  FC",1,1
"9","1950/1951",19,1,"Dimanche 27 août 1950","-","Toulouse FC","1 - 1","CO Roubaix-Tourcoing",1,1
"10","1950/1951",19,2,"Dimanche 3 septembre 1950","-","OGC Nice","3 - 6","Stade Rennais FC",3,6
"11","1950/1951",19,2,"Dimanche 3 septembre 1950","-","CO Roubaix-Tourcoing","1 - 4","RC Paris",1,4
"12","1950/1951",19,2,"Dimanche 3 septembre 1950","-","FC Sochaux-Montbéliard","0 - 4","LOSC",0,4
"13","1950/1951",19,2,"Dimanche 3 septembre 1950","-","FC Nancy","2 - 2","FC Sète 34",2,2
"14","1950/1951",19,2,"Dimanche 3 septembre 1950","-","Nîmes Olympique","2 - 2","Girondins de Bordeaux",2,2
"15","1950/1951",19,2,"Dimanche 3 septembre 1950","-","Red Star  FC","0 - 0","RC Strasbourg Alsace",0,0
"16","1950/1951",19,2,"Dimanche 3 septembre 1950","-","Olympique de Marseille","3 - 1","Toulouse FC",3,1
"17","1950/1951",19,2,"Dimanche 3 septembre 1950","-","Stade de Reims","2 - 0","Havre AC",2,0
"18","1950/1951",19,2,"Dimanche 3 septembre 1950","-","AS Saint-Etienne","4 - 1","RC Lens",4,1
"19","1950/1951",19,3,"Dimanche 10 septembre 1950","-","Stade Rennais FC","6 - 0","Toulouse FC",6,0
"20","1950/1951",19,3,"Dimanche 10 septembre 1950","-","Girondins de Bordeaux","0 - 3","RC Paris",0,3
"21","1950/1951",19,3,"Dimanche 10 septembre 1950","-","LOSC","2 - 1","Olympique de Marseille",2,1
"22","1950/1951",19,3,"Dimanche 10 septembre 1950","-","RC Strasbourg Alsace","3 - 1","CO Roubaix-Tourcoing",3,1
"23","1950/1951",19,3,"Dimanche 10 septembre 1950","-","FC Sète 34","1 - 1","FC Sochaux-Montbéliard",1,1
"24","1950/1951",19,3,"Dimanche 10 septembre 1950","-","Nîmes Olympique","3 - 0","FC Nancy",3,0
"25","1950/1951",19,3,"Dimanche 10 septembre 1950","-","Red Star  FC","1 - 1","Stade de Reims",1,1
"26","1950/1951",19,3,"Dimanche 10 septembre 1950","-","OGC Nice","0 - 0","AS Saint-Etienne",0,0
"27","1950/1951",19,3,"Dimanche 10 septembre 1950","-","RC Lens","2 - 1","Havre AC",2,1
"28","1950/1951",19,4,"Dimanche 17 septembre 1950","-","RC Paris","4 - 2","Stade Rennais FC",4,2
"29","1950/1951",19,4,"Dimanche 17 septembre 1950","-","Olympique de Marseille","2 - 2","RC Strasbourg Alsace",2,2
"30","1950/1951",19,4,"Dimanche 17 septembre 1950","-","Stade de Reims","4 - 3","LOSC",4,3
"31","1950/1951",19,4,"Dimanche 17 septembre 1950","-","FC Nancy","2 - 1","Red Star  FC",2,1
"32","1950/1951",19,4,"Dimanche 17 septembre 1950","-","Havre AC","1 - 0","FC Sète 34",1,0
"33","1950/1951",19,4,"Dimanche 17 septembre 1950","-","AS Saint-Etienne","1 - 1","Nîmes Olympique",1,1
"34","1950/1951",19,4,"Dimanche 17 septembre 1950","-","CO Roubaix-Tourcoing","1 - 1","Girondins de Bordeaux",1,1
"35","1950/1951",19,4,"Dimanche 17 septembre 1950","-","FC Sochaux-Montbéliard","3 - 2","OGC Nice",3,2
"36","1950/1951",19,4,"Dimanche 17 septembre 1950","-","Toulouse FC","3 - 2","RC Lens",3,2
"37","1950/1951",19,5,"Jeudi 21 septembre 1950","-","LOSC","1 - 1","RC Paris",1,1
"38","1950/1951",19,5,"Jeudi 21 septembre 1950","-","Stade Rennais FC","2 - 0","FC Sète 34",2,0
"39","1950/1951",19,5,"Jeudi 21 septembre 1950","-","RC Strasbourg Alsace","6 - 1","Toulouse FC",6,1
"40","1950/1951",19,5,"Jeudi 21 septembre 1950","-","OGC Nice","1 - 2","Stade de Reims",1,2
"41","1950/1951",19,5,"Jeudi 21 septembre 1950","-","Nîmes Olympique","2 - 1","Olympique de Marseille",2,1
"42","1950/1951",19,5,"Jeudi 21 septembre 1950","-","Girondins de Bordeaux","0 - 1","Havre AC",0,1
"43","1950/1951",19,5,"Jeudi 21 septembre 1950","-","AS Saint-Etienne","3 - 1","FC Nancy",3,1
"44","1950/1951",19,5,"Jeudi 21 septembre 1950","-","Red Star  FC","1 - 0","CO Roubaix-Tourcoing",1,0
"45","1950/1951",19,5,"Jeudi 21 septembre 1950","-","RC Lens","3 - 1","FC Sochaux-Montbéliard",3,1
"46","1950/1951",19,6,"Dimanche 24 septembre 1950","-","RC Lens","1 - 2","Stade Rennais FC",1,2
"47","1950/1951",19,6,"Dimanche 24 septembre 1950","-","RC Paris","1 - 1","Red Star  FC",1,1
"48","1950/1951",19,6,"Dimanche 24 septembre 1950","-","Havre AC","0 - 1","RC Strasbourg Alsace",0,1
"49","1950/1951",19,6,"Dimanche 24 septembre 1950","-","Toulouse FC","0 - 2","LOSC",0,2
"50","1950/1951",19,6,"Dimanche 24 septembre 1950","-","Stade de Reims","0 - 0","AS Saint-Etienne",0,0
"51","1950/1951",19,6,"Dimanche 24 septembre 1950","-","CO Roubaix-Tourcoing","2 - 0","Nîmes Olympique",2,0
"52","1950/1951",19,6,"Dimanche 24 septembre 1950","-","FC Sète 34","1 - 0","Girondins de Bordeaux",1,0
"53","1950/1951",19,6,"Dimanche 24 septembre 1950","-","FC Sochaux-Montbéliard","3 - 3","FC Nancy",3,3
"54","1950/1951",19,6,"Dimanche 24 septembre 1950","-","Olympique de Marseille","3 - 0","OGC Nice",3,0
"55","1950/1951",19,7,"Dimanche 1 octobre 1950","-","RC Paris","2 - 4","RC Strasbourg Alsace",2,4
"56","1950/1951",19,7,"Dimanche 1 octobre 1950","-","Havre AC","3 - 1","Stade Rennais FC",3,1
"57","1950/1951",19,7,"Dimanche 1 octobre 1950","-","Stade de Reims","1 - 1","Nîmes Olympique",1,1
"58","1950/1951",19,7,"Dimanche 1 octobre 1950","-","FC Sochaux-Montbéliard","0 - 2","AS Saint-Etienne",0,2
"59","1950/1951",19,7,"Dimanche 1 octobre 1950","-","CO Roubaix-Tourcoing","3 - 0","LOSC",3,0
"60","1950/1951",19,7,"Dimanche 1 octobre 1950","-","FC Sète 34","1 - 1","RC Lens",1,1
"61","1950/1951",19,7,"Dimanche 1 octobre 1950","-","Olympique de Marseille","0 - 0","Red Star  FC",0,0
"62","1950/1951",19,7,"Dimanche 1 octobre 1950","-","Toulouse FC","1 - 2","Girondins de Bordeaux",1,2
"63","1950/1951",19,7,"Dimanche 1 octobre 1950","-","FC Nancy","1 - 2","OGC Nice",1,2
"64","1950/1951",19,8,"Dimanche 8 octobre 1950","-","RC Strasbourg Alsace","1 - 0","FC Sète 34",1,0
"65","1950/1951",19,8,"Dimanche 8 octobre 1950","-","Stade Rennais FC","2 - 1","FC Sochaux-Montbéliard",2,1
"66","1950/1951",19,8,"Dimanche 8 octobre 1950","-","FC Nancy","0 - 2","Stade de Reims",0,2
"67","1950/1951",19,8,"Dimanche 8 octobre 1950","-","Nîmes Olympique","4 - 2","RC Paris",4,2
"68","1950/1951",19,8,"Dimanche 8 octobre 1950","-","LOSC","1 - 0","Havre AC",1,0
"69","1950/1951",19,8,"Dimanche 8 octobre 1950","-","AS Saint-Etienne","1 - 2","Olympique de Marseille",1,2
"70","1950/1951",19,8,"Dimanche 8 octobre 1950","-","Girondins de Bordeaux","4 - 0","RC Lens",4,0
"71","1950/1951",19,8,"Dimanche 8 octobre 1950","-","Red Star  FC","1 - 2","Toulouse FC",1,2
"72","1950/1951",19,8,"Dimanche 8 octobre 1950","-","OGC Nice","3 - 0","CO Roubaix-Tourcoing",3,0
"73","1950/1951",19,9,"Dimanche 15 octobre 1950","-","RC Lens","1 - 1","RC Strasbourg Alsace",1,1
"74","1950/1951",19,9,"Dimanche 15 octobre 1950","-","Stade Rennais FC","4 - 2","Girondins de Bordeaux",4,2
"75","1950/1951",19,9,"Dimanche 15 octobre 1950","-","FC Sète 34","1 - 1","LOSC",1,1
"76","1950/1951",19,9,"Dimanche 15 octobre 1950","-","FC Sochaux-Montbéliard","2 - 0","Stade de Reims",2,0
"77","1950/1951",19,9,"Dimanche 15 octobre 1950","-","RC Paris","0 - 3","OGC Nice",0,3
"78","1950/1951",19,9,"Dimanche 15 octobre 1950","-","Olympique de Marseille","2 - 1","FC Nancy",2,1
"79","1950/1951",19,9,"Dimanche 15 octobre 1950","-","Toulouse FC","1 - 1","Nîmes Olympique",1,1
"80","1950/1951",19,9,"Dimanche 15 octobre 1950","-","Havre AC","3 - 0","Red Star  FC",3,0
"81","1950/1951",19,9,"Dimanche 15 octobre 1950","-","CO Roubaix-Tourcoing","2 - 2","AS Saint-Etienne",2,2
"82","1950/1951",19,10,"Dimanche 22 octobre 1950","-","RC Strasbourg Alsace","1 - 0","Stade Rennais FC",1,0
"83","1950/1951",19,10,"Dimanche 22 octobre 1950","-","LOSC","5 - 0","RC Lens",5,0
"84","1950/1951",19,10,"Dimanche 22 octobre 1950","-","Nîmes Olympique","2 - 3","Havre AC",2,3
"85","1950/1951",19,10,"Dimanche 22 octobre 1950","-","Stade de Reims","1 - 1","Olympique de Marseille",1,1
"86","1950/1951",19,10,"Dimanche 22 octobre 1950","-","AS Saint-Etienne","2 - 1","RC Paris",2,1
"87","1950/1951",19,10,"Dimanche 22 octobre 1950","-","Girondins de Bordeaux","3 - 1","FC Sochaux-Montbéliard",3,1
"88","1950/1951",19,10,"Dimanche 22 octobre 1950","-","OGC Nice","2 - 1","Toulouse FC",2,1
"89","1950/1951",19,10,"Dimanche 22 octobre 1950","-","Red Star  FC","3 - 2","FC Sète 34",3,2
"90","1950/1951",19,10,"Dimanche 22 octobre 1950","-","FC Nancy","2 - 1","CO Roubaix-Tourcoing",2,1
"91","1950/1951",19,11,"Dimanche 29 octobre 1950","-","RC Strasbourg Alsace","1 - 0","LOSC",1,0
"92","1950/1951",19,11,"Dimanche 29 octobre 1950","-","Stade Rennais FC","1 - 2","Nîmes Olympique",1,2
"93","1950/1951",19,11,"Dimanche 29 octobre 1950","-","Toulouse FC","1 - 3","Stade de Reims",1,3
"94","1950/1951",19,11,"Dimanche 29 octobre 1950","-","Havre AC","1 - 1","FC Nancy",1,1
"95","1950/1951",19,11,"Dimanche 29 octobre 1950","-","Girondins de Bordeaux","4 - 1","Red Star  FC",4,1
"96","1950/1951",19,11,"Dimanche 29 octobre 1950","-","RC Paris","1 - 1","Olympique de Marseille",1,1
"97","1950/1951",19,11,"Dimanche 29 octobre 1950","-","FC Sète 34","4 - 1","AS Saint-Etienne",4,1
"98","1950/1951",19,11,"Dimanche 29 octobre 1950","-","RC Lens","2 - 0","OGC Nice",2,0
"99","1950/1951",19,11,"Dimanche 29 octobre 1950","-","CO Roubaix-Tourcoing","1 - 2","FC Sochaux-Montbéliard",1,2
"100","1950/1951",19,12,"Dimanche 5 novembre 1950","-","FC Sochaux-Montbéliard","5 - 0","RC Strasbourg Alsace",5,0
"101","1950/1951",19,12,"Dimanche 5 novembre 1950","-","LOSC","3 - 0","Girondins de Bordeaux",3,0
"102","1950/1951",19,12,"Dimanche 5 novembre 1950","-","Stade de Reims","2 - 2","RC Paris",2,2
"103","1950/1951",19,12,"Dimanche 5 novembre 1950","-","Red Star  FC","6 - 0","Stade Rennais FC",6,0
"104","1950/1951",19,12,"Dimanche 5 novembre 1950","-","Nîmes Olympique","5 - 3","RC Lens",5,3
"105","1950/1951",19,12,"Dimanche 5 novembre 1950","-","AS Saint-Etienne","1 - 0","Havre AC",1,0
"106","1950/1951",19,12,"Dimanche 5 novembre 1950","-","Olympique de Marseille","1 - 2","CO Roubaix-Tourcoing",1,2
"107","1950/1951",19,12,"Dimanche 5 novembre 1950","-","OGC Nice","2 - 1","FC Sète 34",2,1
"108","1950/1951",19,12,"Dimanche 5 novembre 1950","-","FC Nancy","0 - 3","Toulouse FC",0,3
"109","1950/1951",19,13,"Samedi 11 novembre 1950","-","RC Paris","2 - 0","FC Nancy",2,0
"110","1950/1951",19,13,"Dimanche 12 novembre 1950","-","Girondins de Bordeaux","3 - 0","RC Strasbourg Alsace",3,0
"111","1950/1951",19,13,"Dimanche 12 novembre 1950","-","Stade Rennais FC","0 - 0","LOSC",0,0
"112","1950/1951",19,13,"Dimanche 12 novembre 1950","-","Havre AC","4 - 1","OGC Nice",4,1
"113","1950/1951",19,13,"Dimanche 12 novembre 1950","-","FC Sète 34","1 - 1","Nîmes Olympique",1,1
"114","1950/1951",19,13,"Dimanche 12 novembre 1950","-","CO Roubaix-Tourcoing","2 - 1","Stade de Reims",2,1
"115","1950/1951",19,13,"Dimanche 12 novembre 1950","-","Toulouse FC","3 - 2","AS Saint-Etienne",3,2
"116","1950/1951",19,13,"Dimanche 12 novembre 1950","-","RC Lens","5 - 0","Red Star  FC",5,0
"117","1950/1951",19,13,"Jeudi 23 novembre 1950","-","FC Sochaux-Montbéliard","1 - 2","Olympique de Marseille",1,2
"118","1950/1951",19,14,"Dimanche 19 novembre 1950","-","RC Strasbourg Alsace","2 - 6","AS Saint-Etienne",2,6
"119","1950/1951",19,14,"Dimanche 19 novembre 1950","-","Havre AC","2 - 0","RC Paris",2,0
"120","1950/1951",19,14,"Dimanche 19 novembre 1950","-","Red Star  FC","2 - 3","Nîmes Olympique",2,3
"121","1950/1951",19,14,"Dimanche 19 novembre 1950","-","Stade Rennais FC","2 - 2","Stade de Reims",2,2
"122","1950/1951",19,14,"Dimanche 19 novembre 1950","-","LOSC","1 - 3","OGC Nice",1,3
"123","1950/1951",19,14,"Dimanche 19 novembre 1950","-","Girondins de Bordeaux","3 - 1","FC Nancy",3,1
"124","1950/1951",19,14,"Dimanche 19 novembre 1950","-","FC Sète 34","2 - 0","CO Roubaix-Tourcoing",2,0
"125","1950/1951",19,14,"Dimanche 19 novembre 1950","-","RC Lens","1 - 1","Olympique de Marseille",1,1
"126","1950/1951",19,14,"Dimanche 19 novembre 1950","-","Toulouse FC","0 - 2","FC Sochaux-Montbéliard",0,2
"127","1950/1951",19,15,"Dimanche 26 novembre 1950","-","CO Roubaix-Tourcoing","2 - 3","Havre AC",2,3
"128","1950/1951",19,15,"Dimanche 26 novembre 1950","-","OGC Nice","4 - 1","RC Strasbourg Alsace",4,1
"129","1950/1951",19,15,"Dimanche 26 novembre 1950","-","Nîmes Olympique","2 - 4","LOSC",2,4
"130","1950/1951",19,15,"Dimanche 26 novembre 1950","-","Stade de Reims","4 - 2","RC Lens",4,2
"131","1950/1951",19,15,"Dimanche 26 novembre 1950","-","AS Saint-Etienne","1 - 0","Girondins de Bordeaux",1,0
"132","1950/1951",19,15,"Dimanche 26 novembre 1950","-","FC Nancy","3 - 2","Stade Rennais FC",3,2
"133","1950/1951",19,15,"Dimanche 26 novembre 1950","-","Olympique de Marseille","1 - 2","FC Sète 34",1,2
"134","1950/1951",19,15,"Dimanche 26 novembre 1950","-","RC Paris","1 - 1","Toulouse FC",1,1
"135","1950/1951",19,15,"Dimanche 26 novembre 1950","-","FC Sochaux-Montbéliard","0 - 1","Red Star  FC",0,1
"136","1950/1951",19,16,"Dimanche 3 décembre 1950","-","RC Strasbourg Alsace","0 - 1","Stade de Reims",0,1
"137","1950/1951",19,16,"Dimanche 3 décembre 1950","-","LOSC","0 - 0","FC Nancy",0,0
"138","1950/1951",19,16,"Dimanche 3 décembre 1950","-","Stade Rennais FC","4 - 1","CO Roubaix-Tourcoing",4,1
"139","1950/1951",19,16,"Dimanche 3 décembre 1950","-","Nîmes Olympique","1 - 1","OGC Nice",1,1
"140","1950/1951",19,16,"Dimanche 3 décembre 1950","-","Red Star  FC","4 - 0","AS Saint-Etienne",4,0
"141","1950/1951",19,16,"Dimanche 3 décembre 1950","-","Girondins de Bordeaux","0 - 0","Olympique de Marseille",0,0
"142","1950/1951",19,16,"Dimanche 3 décembre 1950","-","RC Lens","1 - 1","RC Paris",1,1
"143","1950/1951",19,16,"Dimanche 3 décembre 1950","-","FC Sète 34","0 - 1","Toulouse FC",0,1
"144","1950/1951",19,16,"Mardi 5 décembre 1950","-","Havre AC","3 - 1","FC Sochaux-Montbéliard",3,1
"145","1950/1951",19,17,"Dimanche 17 décembre 1950","-","Toulouse FC","2 - 0","Havre AC",2,0
"146","1950/1951",19,17,"Dimanche 17 décembre 1950","-","Stade de Reims","2 - 3","Girondins de Bordeaux",2,3
"147","1950/1951",19,17,"Dimanche 17 décembre 1950","-","AS Saint-Etienne","5 - 1","LOSC",5,1
"148","1950/1951",19,17,"Dimanche 17 décembre 1950","-","Olympique de Marseille","1 - 1","Stade Rennais FC",1,1
"149","1950/1951",19,17,"Dimanche 17 décembre 1950","-","FC Nancy","2 - 1","RC Strasbourg Alsace",2,1
"150","1950/1951",19,17,"Dimanche 17 décembre 1950","-","RC Paris","3 - 2","FC Sète 34",3,2
"151","1950/1951",19,17,"Dimanche 17 décembre 1950","-","OGC Nice","5 - 1","Red Star  FC",5,1
"152","1950/1951",19,17,"Dimanche 17 décembre 1950","-","FC Sochaux-Montbéliard","4 - 0","Nîmes Olympique",4,0
"153","1950/1951",19,17,"Dimanche 17 décembre 1950","-","CO Roubaix-Tourcoing","4 - 1","RC Lens",4,1
"154","1950/1951",19,18,"Dimanche 24 décembre 1950","-","AS Saint-Etienne","3 - 0","Stade Rennais FC",3,0
"155","1950/1951",19,18,"Dimanche 24 décembre 1950","-","Stade de Reims","3 - 1","FC Sète 34",3,1
"156","1950/1951",19,18,"Dimanche 24 décembre 1950","-","Red Star  FC","0 - 2","LOSC",0,2
"157","1950/1951",19,18,"Dimanche 24 décembre 1950","-","Olympique de Marseille","3 - 1","Havre AC",3,1
"158","1950/1951",19,18,"Dimanche 24 décembre 1950","-","OGC Nice","4 - 1","Girondins de Bordeaux",4,1
"159","1950/1951",19,18,"Dimanche 24 décembre 1950","-","FC Sochaux-Montbéliard","0 - 1","RC Paris",0,1
"160","1950/1951",19,18,"Dimanche 24 décembre 1950","-","Nîmes Olympique","1 - 0","RC Strasbourg Alsace",1,0
"161","1950/1951",19,18,"Dimanche 24 décembre 1950","-","FC Nancy","4 - 2","RC Lens",4,2
"162","1950/1951",19,18,"Dimanche 24 décembre 1950","-","CO Roubaix-Tourcoing","3 - 2","Toulouse FC",3,2
"163","1950/1951",19,19,"Dimanche 31 décembre 1950","-","RC Lens","2 - 3","AS Saint-Etienne",2,3
"164","1950/1951",19,19,"Dimanche 31 décembre 1950","-","LOSC","2 - 1","FC Sochaux-Montbéliard",2,1
"165","1950/1951",19,19,"Dimanche 31 décembre 1950","-","Havre AC","3 - 0","Stade de Reims",3,0
"166","1950/1951",19,19,"Dimanche 31 décembre 1950","-","Stade Rennais FC","3 - 1","OGC Nice",3,1
"167","1950/1951",19,19,"Dimanche 31 décembre 1950","-","Toulouse FC","0 - 4","Olympique de Marseille",0,4
"168","1950/1951",19,19,"Dimanche 31 décembre 1950","-","Girondins de Bordeaux","2 - 1","Nîmes Olympique",2,1
"169","1950/1951",19,19,"Dimanche 31 décembre 1950","-","RC Strasbourg Alsace","2 - 1","Red Star  FC",2,1
"170","1950/1951",19,19,"Dimanche 31 décembre 1950","-","RC Paris","1 - 2","CO Roubaix-Tourcoing",1,2
"171","1950/1951",19,19,"Dimanche 31 décembre 1950","-","FC Sète 34","2 - 1","FC Nancy",2,1
"172","1950/1951",19,20,"Dimanche 7 janvier 1951","-","AS Saint-Etienne","3 - 2","OGC Nice",3,2
"173","1950/1951",19,20,"Dimanche 7 janvier 1951","-","Havre AC","4 - 1","RC Lens",4,1
"174","1950/1951",19,20,"Dimanche 7 janvier 1951","-","Olympique de Marseille","1 - 1","LOSC",1,1
"175","1950/1951",19,20,"Dimanche 7 janvier 1951","-","Stade de Reims","2 - 0","Red Star  FC",2,0
"176","1950/1951",19,20,"Dimanche 7 janvier 1951","-","Toulouse FC","0 - 1","Stade Rennais FC",0,1
"177","1950/1951",19,20,"Dimanche 7 janvier 1951","-","CO Roubaix-Tourcoing","0 - 1","RC Strasbourg Alsace",0,1
"178","1950/1951",19,20,"Dimanche 7 janvier 1951","-","RC Paris","1 - 0","Girondins de Bordeaux",1,0
"179","1950/1951",19,20,"Dimanche 7 janvier 1951","-","FC Nancy","3 - 0","Nîmes Olympique",3,0
"180","1950/1951",19,20,"Dimanche 7 janvier 1951","-","FC Sochaux-Montbéliard","1 - 0","FC Sète 34",1,0
"181","1950/1951",19,21,"Dimanche 21 janvier 1951","-","FC Sète 34","1 - 2","Havre AC",1,2
"182","1950/1951",19,21,"Dimanche 21 janvier 1951","-","Nîmes Olympique","1 - 0","AS Saint-Etienne",1,0
"183","1950/1951",19,21,"Dimanche 21 janvier 1951","-","LOSC","1 - 1","Stade de Reims",1,1
"184","1950/1951",19,21,"Dimanche 21 janvier 1951","-","Stade Rennais FC","3 - 4","RC Paris",3,4
"185","1950/1951",19,21,"Dimanche 21 janvier 1951","-","RC Strasbourg Alsace","2 - 2","Olympique de Marseille",2,2
"186","1950/1951",19,21,"Dimanche 21 janvier 1951","-","OGC Nice","2 - 1","FC Sochaux-Montbéliard",2,1
"187","1950/1951",19,21,"Dimanche 21 janvier 1951","-","Girondins de Bordeaux","2 - 2","CO Roubaix-Tourcoing",2,2
"188","1950/1951",19,21,"Dimanche 21 janvier 1951","-","Red Star  FC","1 - 4","FC Nancy",1,4
"189","1950/1951",19,21,"Dimanche 21 janvier 1951","-","RC Lens","2 - 2","Toulouse FC",2,2
"190","1950/1951",19,22,"Dimanche 28 janvier 1951","-","Havre AC","2 - 2","Girondins de Bordeaux",2,2
"191","1950/1951",19,22,"Dimanche 28 janvier 1951","-","RC Paris","2 - 0","LOSC",2,0
"192","1950/1951",19,22,"Dimanche 28 janvier 1951","-","FC Nancy","4 - 2","AS Saint-Etienne",4,2
"193","1950/1951",19,22,"Dimanche 28 janvier 1951","-","FC Sète 34","1 - 2","Stade Rennais FC",1,2
"194","1950/1951",19,22,"Dimanche 28 janvier 1951","-","Stade de Reims","2 - 4","OGC Nice",2,4
"195","1950/1951",19,22,"Dimanche 28 janvier 1951","-","Olympique de Marseille","1 - 1","Nîmes Olympique",1,1
"196","1950/1951",19,22,"Dimanche 28 janvier 1951","-","Toulouse FC","1 - 0","RC Strasbourg Alsace",1,0
"197","1950/1951",19,22,"Dimanche 28 janvier 1951","-","CO Roubaix-Tourcoing","3 - 1","Red Star  FC",3,1
"198","1950/1951",19,22,"Dimanche 28 janvier 1951","-","FC Sochaux-Montbéliard","3 - 2","RC Lens",3,2
"199","1950/1951",19,23,"Dimanche 11 février 1951","-","RC Strasbourg Alsace","1 - 4","Havre AC",1,4
"200","1950/1951",19,23,"Dimanche 11 février 1951","-","Red Star  FC","0 - 3","RC Paris",0,3
"201","1950/1951",19,23,"Dimanche 11 février 1951","-","AS Saint-Etienne","1 - 1","Stade de Reims",1,1
"202","1950/1951",19,23,"Dimanche 11 février 1951","-","Stade Rennais FC","1 - 2","RC Lens",1,2
"203","1950/1951",19,23,"Dimanche 11 février 1951","-","OGC Nice","2 - 2","Olympique de Marseille",2,2
"204","1950/1951",19,23,"Dimanche 11 février 1951","-","Girondins de Bordeaux","4 - 0","FC Sète 34",4,0
"205","1950/1951",19,23,"Dimanche 11 février 1951","-","LOSC","1 - 2","Toulouse FC",1,2
"206","1950/1951",19,23,"Dimanche 11 février 1951","-","Nîmes Olympique","2 - 1","CO Roubaix-Tourcoing",2,1
"207","1950/1951",19,23,"Dimanche 11 février 1951","-","FC Nancy","3 - 4","FC Sochaux-Montbéliard",3,4
"208","1950/1951",19,24,"Dimanche 18 février 1951","-","Stade Rennais FC","0 - 4","Havre AC",0,4
"209","1950/1951",19,24,"Dimanche 18 février 1951","-","AS Saint-Etienne","3 - 0","FC Sochaux-Montbéliard",3,0
"210","1950/1951",19,24,"Dimanche 18 février 1951","-","RC Strasbourg Alsace","3 - 0","RC Paris",3,0
"211","1950/1951",19,24,"Dimanche 18 février 1951","-","OGC Nice","5 - 0","FC Nancy",5,0
"212","1950/1951",19,24,"Dimanche 18 février 1951","-","Red Star  FC","2 - 4","Olympique de Marseille",2,4
"213","1950/1951",19,24,"Dimanche 18 février 1951","-","Girondins de Bordeaux","3 - 1","Toulouse FC",3,1
"214","1950/1951",19,24,"Dimanche 18 février 1951","-","Nîmes Olympique","3 - 0","Stade de Reims",3,0
"215","1950/1951",19,24,"Dimanche 18 février 1951","-","LOSC","0 - 1","CO Roubaix-Tourcoing",0,1
"216","1950/1951",19,24,"Dimanche 18 février 1951","-","RC Lens","3 - 0","FC Sète 34",3,0
"217","1950/1951",19,25,"Dimanche 4 mars 1951","-","Havre AC","0 - 1","LOSC",0,1
"218","1950/1951",19,25,"Dimanche 4 mars 1951","-","Olympique de Marseille","7 - 0","AS Saint-Etienne",7,0
"219","1950/1951",19,25,"Dimanche 4 mars 1951","-","RC Paris","0 - 2","Nîmes Olympique",0,2
"220","1950/1951",19,25,"Dimanche 4 mars 1951","-","CO Roubaix-Tourcoing","0 - 0","OGC Nice",0,0
"221","1950/1951",19,25,"Dimanche 4 mars 1951","-","RC Lens","1 - 1","Girondins de Bordeaux",1,1
"222","1950/1951",19,25,"Dimanche 4 mars 1951","-","Stade de Reims","2 - 2","FC Nancy",2,2
"223","1950/1951",19,25,"Dimanche 4 mars 1951","-","FC Sète 34","2 - 1","RC Strasbourg Alsace",2,1
"224","1950/1951",19,25,"Dimanche 4 mars 1951","-","FC Sochaux-Montbéliard","2 - 2","Stade Rennais FC",2,2
"225","1950/1951",19,25,"Dimanche 4 mars 1951","-","Toulouse FC","0 - 0","Red Star  FC",0,0
"226","1950/1951",19,26,"Dimanche 11 mars 1951","-","Red Star  FC","1 - 0","Havre AC",1,0
"227","1950/1951",19,26,"Dimanche 11 mars 1951","-","Nîmes Olympique","3 - 1","Toulouse FC",3,1
"228","1950/1951",19,26,"Dimanche 11 mars 1951","-","AS Saint-Etienne","3 - 0","CO Roubaix-Tourcoing",3,0
"229","1950/1951",19,26,"Dimanche 11 mars 1951","-","OGC Nice","3 - 0","RC Paris",3,0
"230","1950/1951",19,26,"Dimanche 11 mars 1951","-","FC Nancy","5 - 1","Olympique de Marseille",5,1
"231","1950/1951",19,26,"Dimanche 11 mars 1951","-","Girondins de Bordeaux","1 - 1","Stade Rennais FC",1,1
"232","1950/1951",19,26,"Dimanche 11 mars 1951","-","LOSC","3 - 1","FC Sète 34",3,1
"233","1950/1951",19,26,"Dimanche 11 mars 1951","-","Stade de Reims","3 - 1","FC Sochaux-Montbéliard",3,1
"234","1950/1951",19,26,"Dimanche 11 mars 1951","-","RC Strasbourg Alsace","1 - 1","RC Lens",1,1
"235","1950/1951",19,27,"Samedi 24 mars 1951","-","RC Paris","2 - 2","AS Saint-Etienne",2,2
"236","1950/1951",19,27,"Samedi 24 mars 1951","-","Stade Rennais FC","2 - 4","RC Strasbourg Alsace",2,4
